name,team,position,age,fantasycalcId,sleeperId,mflId,value,overallRank,positionRank,trend30day
Dalton Kincaid,BUF,TE,25.4,9819,10236,16213,2200,120,9,-449
David Njoku,CLE,TE,28.7,6513,4033,13192,2184,121,10,-15
Mark Andrews,BAL,TE,29.6,4519,5012,13671,2184,122,11,-101
Ollie Gordon,null,RB,null,12616,12495,UNK,2181,123,32,-55
Brian Robinson,WAS,RB,26,4174,8154,15716,2169,124,33,-368
Trevor Lawrence,JAX,QB,25.5,1086,7523,15237,2167,125,18,-193
Josh Downs,IND,WR,23.6,9936,9500,16187,2152,126,45,-284
Dylan Sampson,null,RB,null,12638,12469,UNK,2145,127,34,8
2025 Pick 2.05,null,PICK,null,15656,DP_1_4,DP_1_4,2121,128,20,-99
Aaron Jones,MIN,RB,30.3,2382,4199,13319,2114,129,35,85
Cooper Kupp,LAR,WR,31.8,5586,4039,13164,2105,130,46,8
D'Andre Swift,CHI,RB,26.2,1574,6790,14797,2081,131,36,-263
Jalen McMillan,TB,WR,23.3,11754,11618,16628,2079,132,47,-458
Deebo Samuel,SF,WR,29.2,2495,5872,14136,2059,133,48,-88
Keon Coleman,BUF,WR,21.9,11716,11637,16617,2049,134,49,-223
Jared Goff,DET,QB,30.5,8587,3163,12611,2042,135,19,-132
Michael Penix,ATL,QB,24.9,11739,11559,16583,2039,136,20,-264
2025 Pick 2.06,null,PICK,null,15657,DP_1_5,DP_1_5,2036,137,21,-98
Michael Pittman,IND,WR,27.5,8259,6819,14842,2018,138,50,-295
Trey Benson,ARI,RB,22.7,11758,11589,16594,2014,139,37,-127
Tucker Kraft,GB,TE,24.4,9824,9484,16222,2011,140,12,-214
2025 Round 2,null,PICK,null,9633,FP_2025_2,FP_2025_2,1997,141,22,-98
2025 Pick 2.07,null,PICK,null,15658,DP_1_6,DP_1_6,1958,142,23,-98
Jakobi Meyers,LV,WR,28.4,2463,5947,14127,1953,143,51,52
Tony Pollard,TEN,RB,27.9,407,5967,14085,1945,144,38,-116
J.K. Dobbins,LAC,RB,26.3,5149,6806,14800,1920,145,39,-211
Rachaad White,TB,RB,26.2,2187,8136,15721,1911,146,40,-119
2025 Pick 2.08,null,PICK,null,15659,DP_1_7,DP_1_7,1885,147,24,-98
Shedeur Sanders,null,QB,null,12587,12524,UNK,1885,148,21,-230
Rhamondre Stevenson,NE,RB,27.1,4294,7611,15259,1885,149,41,-272
Evan Engram,JAX,TE,30.6,3648,4066,13189,1883,150,13,287
Isaiah Likely,BAL,TE,24.9,7402,8131,15798,1880,151,14,25
Jauan Jennings,SF,WR,27.7,2631,7049,14860,1877,152,52,-5
Jonathon Brooks,CAR,RB,21.7,11725,11583,16597,1874,153,42,-90
Isaiah Bond,null,WR,null,12655,12503,UNK,1865,154,53,-103
Dak Prescott,DAL,QB,31.7,6637,3294,12620,1839,155,22,-238
Elic Ayomanor,null,WR,null,12623,12499,UNK,1830,156,54,-101
Bryce Young,CAR,QB,23.7,9944,9228,16148,1821,157,23,-110
2025 Pick 2.09,null,PICK,null,15660,DP_1_8,DP_1_8,1818,158,25,-97
Tank Bigsby,JAX,RB,22.6,9925,9225,16164,1811,159,43,-192
Jaylen Warren,PIT,RB,26.4,6285,8228,15742,1810,160,44,30
Xavier Legette,CAR,WR,24.2,11718,11626,16639,1782,161,55,-186
Tyjae Spears,TEN,RB,23.8,9817,9508,16165,1777,162,45,-100
Calvin Ridley,TEN,WR,30.3,41,4981,13629,1770,163,56,42
2025 Pick 2.10,null,PICK,null,15661,DP_1_9,DP_1_9,1756,164,26,-97
Stefon Diggs,HOU,WR,31.3,3214,2449,12186,1743,165,57,84
Javonte Williams,DEN,RB,24.9,6963,7588,15256,1739,166,46,89
DJ Giddens,null,RB,null,12656,12471,UNK,1735,167,47,15
Travis Kelce,KC,TE,35.5,2204,1466,11244,1735,168,15,219
